Number of model parameters: 65960814
Epoch: [0][1330/6000]	Time 1.035 (1.045)	Loss 2.3385 (2.4582)
Epoch: [0][1340/6000]	Time 1.042 (1.045)	Loss 2.7958 (2.4567)
Epoch: [0][1350/6000]	Time 1.037 (1.045)	Loss 1.8645 (2.4559)
Epoch: [0][1360/6000]	Time 1.036 (1.045)	Loss 2.3408 (2.4540)
Epoch: [0][1370/6000]	Time 1.031 (1.045)	Loss 1.6904 (2.4538)
Epoch: [0][1380/6000]	Time 1.040 (1.045)	Loss 2.1177 (2.4517)
Epoch: [0][1390/6000]	Time 1.035 (1.045)	Loss 2.5263 (2.4489)
Epoch: [0][1400/6000]	Time 1.043 (1.045)	Loss 3.0627 (2.4486)
Epoch: [0][1410/6000]	Time 1.038 (1.045)	Loss 2.5362 (2.4478)
Epoch: [0][1420/6000]	Time 1.039 (1.045)	Loss 1.1434 (2.4474)
Epoch: [0][1430/6000]	Time 1.040 (1.044)	Loss 3.1058 (2.4480)
Epoch: [0][1440/6000]	Time 1.038 (1.044)	Loss 1.8797 (2.4464)
Epoch: [0][1450/6000]	Time 1.041 (1.044)	Loss 1.2099 (2.4448)
Epoch: [0][1460/6000]	Time 1.042 (1.044)	Loss 1.8137 (2.4448)
Epoch: [0][1470/6000]	Time 1.038 (1.044)	Loss 1.4299 (2.4432)
Epoch: [0][1480/6000]	Time 1.034 (1.044)	Loss 1.3320 (2.4427)
Epoch: [0][1490/6000]	Time 1.036 (1.044)	Loss 1.6309 (2.4430)
Epoch: [0][1500/6000]	Time 1.040 (1.044)	Loss 1.8575 (2.4404)
Epoch: [0][1510/6000]	Time 1.035 (1.044)	Loss 1.1759 (2.4399)
Epoch: [0][1520/6000]	Time 1.036 (1.044)	Loss 1.7211 (2.4385)
Epoch: [0][1530/6000]	Time 1.040 (1.044)	Loss 2.7953 (2.4366)
Epoch: [0][1540/6000]	Time 1.041 (1.044)	Loss 1.4845 (2.4357)
Epoch: [0][1550/6000]	Time 1.035 (1.044)	Loss 3.1324 (2.4363)
Epoch: [0][1560/6000]	Time 1.035 (1.044)	Loss 3.5449 (2.4374)
Epoch: [0][1570/6000]	Time 1.039 (1.044)	Loss 2.4547 (2.4365)
Epoch: [0][1580/6000]	Time 1.035 (1.044)	Loss 2.0180 (2.4362)
Epoch: [0][1590/6000]	Time 1.037 (1.044)	Loss 1.9101 (2.4366)
Epoch: [0][1600/6000]	Time 1.036 (1.044)	Loss 1.8193 (2.4363)
Epoch: [0][1610/6000]	Time 1.038 (1.044)	Loss 4.1226 (2.4344)
